App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Avg_Compound,Avg_Positive,Avg_Neutral,Avg_Negative,Sentiment,Positive_Count,Neutral_Count,Negative_Count,Total_Reviews
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,0.28359142857142855,0.5163714285714286,0.36934285714285714,0.11428571428571428,Positive,21.0,10.0,4.0,35.0
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up,,,,,Unknown,,,,
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up,,,,,Unknown,,,,
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up,,,,,Unknown,,,,
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up,,,,,Unknown,,,,
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,0.5375833333333333,0.5067916666666666,0.4405833333333333,0.052625,Positive,20.0,2.0,2.0,24.0
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,0.0845264705882353,0.2923529411764706,0.516,0.19164705882352942,Positive,18.0,6.0,10.0,34.0
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up,,,,,Unknown,,,,
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up,,,,,Unknown,,,,
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up,,,,,Unknown,,,,
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11.0,10000,Free,0.0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up,,,,,Unknown,,,,
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up,,,,,Unknown,,,,
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15.0,10000,Free,0.0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up,,,,,Unknown,,,,
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10.0,100000,Free,0.0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up,,,,,Unknown,,,,
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up,,,,,Unknown,,,,
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12.0,10000,Free,0.0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up,,,,,Unknown,,,,
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,0.5162868421052632,0.31257894736842107,0.6070263157894736,0.08047368421052631,Positive,31.0,2.0,5.0,38.0
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26.0,100000,Free,0.0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up,,,,,Unknown,,,,
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up,,,,,Unknown,,,,
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up,,,,,Unknown,,,,
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25.0,100000,Free,0.0,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up,,,,,Unknown,,,,
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",11.0,4.1 and up,,,,,Unknown,,,,
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,,,,,Unknown,,,,
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,,,,,Unknown,,,,
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up,,,,,Unknown,,,,
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up,,,,,Unknown,,,,
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up,,,,,Unknown,,,,
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up,,,,,Unknown,,,,
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,0.201,100000,Free,0.0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up,,,,,Unknown,,,,
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up,,,,,Unknown,,,,
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up,,,,,Unknown,,,,
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.4604166666666667,0.30183333333333334,0.6410416666666666,0.057125,Positive,20.0,3.0,1.0,24.0
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up,,,,,Unknown,,,,
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,0.5276914285714286,0.3631714285714286,0.6070571428571429,0.029771428571428574,Positive,26.0,8.0,1.0,35.0
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.6323205882352941,0.33691176470588236,0.5983235294117647,0.0646470588235294,Positive,32.0,1.0,1.0,34.0
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up,,,,,Unknown,,,,
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up,,,,,Unknown,,,,
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,Free,0.0,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up,,,,,Unknown,,,,
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35.0,5000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up,,,,,Unknown,,,,
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,500000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up,,,,,Unknown,,,,
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,0.7355096774193548,0.2521935483870968,0.6839677419354838,0.06387096774193549,Positive,29.0,0.0,2.0,31.0
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,500000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up,,,,,Unknown,,,,
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up,,,,,Unknown,,,,
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up,,,,,Unknown,,,,
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up,,,,,Unknown,,,,
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,-0.03326666666666667,0.16233333333333333,0.5043333333333333,0.3333333333333333,Negative,1.0,1.0,1.0,3.0
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up,,,,,Unknown,,,,
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,50000,Free,0.0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up,,,,,Unknown,,,,
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up,,,,,Unknown,,,,
Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up,,,,,Unknown,,,,
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.0,4.0.3 and up,,,,,Unknown,,,,
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up,,,,,Unknown,,,,
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,0.33494594594594596,0.5253243243243244,0.4264054054054054,0.04827027027027027,Positive,26.0,9.0,2.0,37.0
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up,,,,,Unknown,,,,
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up,,,,,Unknown,,,,
SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up,,,,,Unknown,,,,
auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up,,,,,Unknown,,,,
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,1000000,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up,,,,,Unknown,,,,
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,500000,Free,0.0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up,,,,,Unknown,,,,
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up,,,,,Unknown,,,,
Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up,,,,,Unknown,,,,
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,500000,Free,0.0,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up,,,,,Unknown,,,,
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,1000000,Free,0.0,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up,,,,,Unknown,,,,
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty,"May 15, 2018",4.0,4.1 and up,,,,,Unknown,,,,
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,-0.04854040404040404,0.26294949494949493,0.4684040404040404,0.2686363636363636,Negative,30.0,33.0,36.0,99.0
Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000,Free,0.0,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up,,,,,Unknown,,,,
Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.5325271604938272,0.6440740740740741,0.33871604938271604,0.017209876543209875,Positive,74.0,3.0,4.0,81.0
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.15336666666666668,0.3551746031746032,0.46204761904761904,0.1827777777777778,Positive,33.0,12.0,18.0,63.0
Tie - Always be happy,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up,,,,,Unknown,,,,
Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,10000,Free,0.0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up,,,,,Unknown,,,,
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35.0,100000,Free,0.0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up,,,,,Unknown,,,,
Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up,,,,,Unknown,,,,
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30.0,50000,Free,0.0,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up,,,,,Unknown,,,,
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up,,,,,Unknown,,,,
Photo Editor 2018,BEAUTY,4.5,134,17.0,10000,Free,0.0,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up,,,,,Unknown,,,,
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up,,,,,Unknown,,,,
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up,,,,,Unknown,,,,
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up,,,,,Unknown,,,,
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,,,,,Unknown,,,,
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57.0,1000000,Free,0.0,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up,,,,,Unknown,,,,
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up,,,,,Unknown,,,,
Filters for B Live,BEAUTY,4.4,2280,24.0,500000,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.22072666666666668,0.3799666666666667,0.5303666666666667,0.08966666666666666,Positive,16.0,11.0,3.0,30.0
Facial Wrinkle Reduction,BEAUTY,4.6,184,21.0,10000,Free,0.0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up,,,,,Unknown,,,,
Makeup Videos,BEAUTY,3.8,9,3.4,5000,Free,0.0,Everyone,Beauty,"June 7, 2018",1.0,4.0 and up,,,,,Unknown,,,,
Discover Color,BEAUTY,4.0,364,6.4,100000,Free,0.0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up,,,,,Unknown,,,,
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000,Free,0.0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up,,,,,Unknown,,,,
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.41758965517241375,0.6051724137931035,0.3614137931034483,0.033448275862068964,Positive,24.0,4.0,1.0,29.0
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000,Free,0.0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up,,,,,Unknown,,,,
Rainbow Camera,BEAUTY,3.7,3871,23.0,1000000,Free,0.0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up,,,,,Unknown,,,,
Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty,"August 7, 2017",1.0,4.0.3 and up,,,,,Unknown,,,,
Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000,Free,0.0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up,,,,,Unknown,,,,
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0.0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up,,,,,Unknown,,,,
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up,,,,,Unknown,,,,
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.20481666666666667,0.3785,0.6215,0.0,Neutral,3.0,3.0,0.0,6.0
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0.0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up,,,,,Unknown,,,,
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0.0,Everyone,Books & Reference,"January 21, 2018",1.0,4.0 and up,,,,,Unknown,,,,
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000,Free,0.0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up,,,,,Unknown,,,,
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,0.4158487179487179,0.29625641025641025,0.6424102564102565,0.061358974358974354,Positive,28.0,5.0,6.0,39.0
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13.0,100000,Free,0.0,Everyone,Books & Reference,"July 17, 2018",1.0,4.0.3 and up,,,,,Unknown,,,,
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0.0,Everyone,Books & Reference,"July 11, 2018",9.1.363,4.1 and up,,,,,Unknown,,,,
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0.0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up,,,,,Unknown,,,,
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.39261666666666667,0.3736333333333333,0.5671999999999999,0.059133333333333336,Positive,24.0,2.0,4.0,30.0
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19.0,1000000,Free,0.0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up,,,,,Unknown,,,,
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0.0,Everyone,Books & Reference,"May 17, 2018",15.0,2.3 and up,,,,,Unknown,,,,
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21.0,1000000,Free,0.0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up,,,,,Unknown,,,,
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37.0,5000000,Free,0.0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,0.5118641025641025,0.4361794871794872,0.5103589743589744,0.05348717948717948,Positive,36.0,1.0,2.0,39.0
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15.0,100000,Free,0.0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up,,,,,Unknown,,,,
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23.0,5000000,Free,0.0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up,,,,,Unknown,,,,
